probe,n_features,n_cases,balanced_accuracy,chance,above_chance,confusion
intensity-histogram cohort classifier,128,299,0.7694276094276095,0.3333333333333333,0.43609427609427615,"[[69, 20, 11], [10, 79, 11], [10, 7, 82]]"
intensity-moment cohort classifier,44,299,0.7928619528619528,0.3333333333333333,0.4595286195286195,"[[71, 23, 6], [4, 81, 15], [1, 13, 85]]"
brain-mask-shape cohort classifier,19,299,0.7687878787878787,0.3333333333333333,0.43545454545454537,"[[90, 0, 10], [8, 77, 15], [12, 24, 63]]"
all non-tumor features,191,299,0.8394949494949495,0.3333333333333333,0.5061616161616163,"[[78, 12, 10], [4, 89, 7], [4, 11, 84]]"
